en;it;es;fr
Trophy acquired:;Trofeo ottenuto:;;
The Beginning;L’inizio;;
Stranded;Sperduti;;
Hunter;Cacciatore;;
Revelations;Rivelazioni;;
Blue Sage;Saggio Blu;;
Whelp!;Cucciolo;;
Red Sage;Saggio Rosso;;
The Last Sage;Ultimo Saggio;;
Final Battle;Battaglia Finale;;
One hundred %;100%;;
Famished;Affamato;;
Adventurous;Avventuriero;;
Carnivore;Carnivoro;;
Collectaholic;Collezionista;;
Devastator;Devastatore;;
Expert;Esperto;;
Gunslinger;Fuciliere;;
White Blood Cell;Globuli Bianchi;;
Fighter;Guerriero;;
Killer;Killer;;
Power is Maximum!;Massima Potenza;;
King Midas;Re Mida;;
Swashbuckler;Spadaccino;;
Treasure Hunter;Cercatore di Tesori;;
