en;it;es;fr
\f[1]\nb[\n[1]]\n[3]!;\f[1]\nb[\n[1]]\n[3]!;;
\f[1]\nb[\n[1]]He's been knocked out cold. He needs a pick me up...;\f[1]\nb[\n[1]]È svenuto, devo farlo riprendere!;;
Give a piece of Meat \i[0] to \n[3]?§ Yes§ No;Vuoi dare 1 Carne \i[0] a \n[3]?§ Sì§ No;;
\f[1]\nb[\n[1]]Err, I'm all outta meat...;\f[1]\nb[\n[1]]Ops, ho finito la carne.;;
\f[1]\nb[\n[1]]Sorry, \n[3]…;\f[1]\nb[\n[1]]Povero \n[3]…;;
\f[3]\nb[\n[3]]\n[1]!;\f[3]\nb[\n[3]]\n[1]!;;
\f[1]\nb[\n[1]]Glad you're back, \n[3]!;\f[1]\nb[\n[1]]Ben risvegliato \n[3]!;;
\f[3]\nb[\n[3]]Thanks a bunch fer that!\|§ I was thrown in that weird breach with the rest of ye guys an' next thing I know I was lying down in this here cave.;\f[3]\nb[\n[3]]Grazie per avermi fatto riprendere!\|§ Dopo essere stato risucchiato nel varco insieme a tutti voi mi sono risvegliato in questa grotta.;;
\f[3]\nb[\n[3]]I wanted to go look fer the others, and so I did...\|§ until that there huge worm crawled in my way!;\f[3]\nb[\n[3]]Volevo andarmene e cercarvi, così mi sono incamminato...\|§ fino a quando non è uscito quell’orribile vermone dal terreno!;;
\f[3]\nb[\n[3]]Taught 'im a lesson I did, but I got hurt before I could finish 'im off and had to retreat in here.;\f[3]\nb[\n[3]]Per un po’ sono riuscito a tenergli testa, ma poi ha avuto la meglio su di me e sono arrivato fin qui strisciando per trovare un riparo.;;
\f[1]\nb[\n[1]]Sorry to hear that, buddy!\|§ Good thing I was around to take care of that!;\f[1]\nb[\n[1]]Mi dispiace, amico!\|§ Per fortuna quel bestione ora l’ho sistemato io!;;
\f[3]\nb[\n[3]]Great!;\f[3]\nb[\n[3]]Grande!;;
\f[3]\nb[\n[3]]What about \n[2]? Did ye meet the fella?;\f[3]\nb[\n[3]]E \n[2]? L'hai incontrato?;;
\f[1]\nb[\n[1]]Yeah!\. He's been imprisoned and needs someone to break him out!;\f[1]\nb[\n[1]]Sì!\. Si trova imprigionato e ho bisogno del tuo aiuto per liberarlo!;;
\f[3]\nb[\n[3]]Alright, let's get us there an' figure somethin' out!;\f[3]\nb[\n[3]]Bene, portami da lui e vediamo cosa si può fare!;;
Only \n[1] can jump right now.\| You can unlock the ability to jump for everyone else from the Upgrade submenu.;Al momento solo \n[1] è in grado di saltare.\| Puoi potenziare il gruppo e acquisire una nuova abilità che permetterà di saltare a tutti gli eroi.;;
