en;it;es;fr
By some chance, I found myself at the King's Castle,;Ero al Castello del Re, passavo di lì per caso,;;
and the Teorhemas Crystal was stolen.;e il Cristallo di Teorhemas fu rubato.;;
The King immediately decided to knight me.;Il Re decise immeditamente di nominarmi cavaliere.;;
Despite myself, I had to fill in the hero's shoes,;Diventai così presto l'eroe di tutto il Regno,;;
and embark on a quest way more perilous;costretto a fronteggiare una missione;;
than I could ever be ready for.;a cui non ero per nulla preparato.;;
That Finalboss guy had stolen the Crystal and;Lui, Bossfinale, aveva rubato il Cristallo;;
planned to use it to take over the Kingdom.;e con esso avrebbe conquistato il Regno.;;
After fighting countless battles and taking down plenty;Dopo centinaia di battaglie e boss sconfitti;;
 of bosses, I reached his castle's doorstep.;arrivai davanti le porte del suo castello.;;
However, victory was not so easily grasped.;Ma la strada per la vittoria era ancora lontana.;;
I had to free all five sages;Dovetti liberare tutti i cinque saggi;;
to have them open the door to the castle.;per proseguire ed entrare finalmente nel castello.;;
It was a long, grueling battle.;La battaglia fu lunga e faticosa,;;
The Crystal had horribly warped his body,;il Cristallo lo aveva trasformato in modo orribile,;;
yet I still managed to best him;ma alla fine riuscii ad avere la meglio;;
and return the Teorhemas Crystal to its rightful place.;e riportai il Cristallo di Teorhemas al Castello.;;
In a few days, however, the King died.;Ma tempo un paio di giorni e il nostro Re morì.;;
Fortunately, I wouldn't be alone on my next quest.;Fortunatamente non rimasi solo.;;
I met \n[2] and \n[3], two heroes newly appointed;Conobbi \n[2] e \n[3], altri due eroi nominati dal Re;;
by the King, who would fight by my side.;che avrebbero lottato al mio fianco.;;
In fact, my trials weren't through, not by a long shot.;Nulla infatti era finito.;;
A weird fellow showed up in the Kingdom, a military commander.;Arrivò uno strano tizio nel Regno, un generale.;;
His aim was to create the world's most powerful;Voleva creare la spada più forte del mondo ;;
blade and use it to take over our Kingdom.;e con essa conquistare il nostro Regno.;;
After searching high and low for the General,;Dopo aver cercato il Generale per tutto il Regno;;
we found out the truth was hiding right ;scoprimmo che la verità si nascondeva;;
beneath our feet.;proprio sotto i nostri piedi.;;
The castle's dungeons led to a ruined temple,;Nei sotterranei del castello vi era un antico tempio.;;
where the General had made his hideout and;Il Generale era qui e la spada più forte del mondo;;
the world's most powerful blade had been forged.;era stata creata.;;
After confronting him with his back against the wall,;Dopo un'estenuante battaglia riuscii a sconfiggerlo;;
I managed to unmask him and reveal a shocking truth.;e a scoprire la terribile verità.;;
The General was the Purple Sage.;Il Generale era il Saggio Viola.;;
Or rather, the critter on his head who controlled him.;L'essere sulla sua testa ne aveva preso il controllo;;
He finally transformed, revealing;ed era pronto a trasformarsi,;;
his true identity…;rivelando la sua vera forma…;;
the ancient dragon Derijiro.;Derijiro, un drago.;;
A primordial tyrant who lived in our world long ago;Un antico abitante del nostro mondo;;
and was returning to reclaim it and cleanse us from;tornato per riappropiarsene ed eliminarci tutti;;
it with the power of the Teorhemas Crystal,;grazie alla forza del Cristallo di Teorhemas,;;
their most prized artifact.;il loro più prezioso manufatto.;;
With much blood and sweat, I finally claimed victory;La grande battaglia terminò con un lieto fine;;
and was chosen as the Kingdom's new ruler.;e fui nominato nuovo sovrano del Regno.;;
