en;it;es;fr
\c[2]Finish act \v[165] to unock this.;\c[2]Completa l’atto \v[165] per sbloccare.;;
\c[2]Upgrade your sword to level \v[165] to unlock this.;\c[2]Trasforma la spada al livello \v[165] per sbloccare.;;
\c[2]Find this collectible card somewhere around the world.;\c[2]Questa figurina è da qualche parte in giro…;;
\c[2]Talk to the townsfolk to unlock this.;\c[2]Parla con gli abitanti per sbloccare.;;
\c[2]You haven't found this collectible card yet.;\c[2]Non hai ancora trovato questa figurina.;;
\c[2]Fully upgrade \n[4]'s weapon to unlock this.;\c[2]Trasforma il fucile di \n[4] al massimo per sbloccare.;;
\c[6]1st Boss§ \c[0]The 1st boss to ever oppose Ourhero! Defeated by \n[1] at the end of the first act: The King's Castle.;\c[6]1° Boss§ \c[0]Il 1° boss in assoluto di Our Hero! Sconfitto da \n[1] alla fine del primo atto: Il Castello del Re.;;
\c[6]Smoulder§ \c[0]A hot-headed baddie found in Our Hero! First in the Volcanic Depths.;\c[6]Carbonello§ \c[0]Un nemico un po’ ‘scottante’ presente in Our Hero! First nell’atto: le Profondità del Vulcano.;;
\c[6]Baddie 1§ \c[0]Your run of the mill baddie. The breach seems to have recreated monsters previously created by the Teorhemas Crystal.;\c[6]Cattivo 1§ \c[0]Classico. L’apertura del varco sembra aver riportato anche i mostri creati dal Cristallo di Teorhemas.;;
\c[6]Baddie 2§ \c[0]Same brand of baddie born from the Teorhemas Crystal. Very flammable.;\c[6]Cattivo 2§ \c[0]Cattivissimo numero 2. Nato dal Cristallo di Teorhemas, ha in seguito preso fuoco.;;
\c[6]Townsperson§ \c[0]Lives in peace and quiet in the \map[Abandoned Area], as the only one living there.;\c[6]Cittadino§ \c[0]Si rilassa e vagabonda nella \map[Abandoned Area], dove non ci vive più nessuno.;;
\c[6]Townsperson§ \c[0]One of many peaceful commoners of the Kingdom. Wasn't very talkative in Our Hero! First.;\c[6]Cittadino§ \c[0]Uno dei tanti cittadini del Regno. Compare anche in Our Hero! First rimanendo muto per tutto il tempo.;;
\c[6]Conyan§ \c[0]An ancient race who inhabited the planet together with the Micyan long ago.;\c[6]Conyan§ \c[0]I Conyan erano una razza che, insieme ai Micyan, vivevano un tempo su questo pianeta.;;
\c[6]Muttly§ \c[0]A mean-looking but actually gentle beast guarding the exit gate in Water City in Our Hero! First.;\c[6]Cucciolone§ \c[0]Questo grosso ma tenero cucciolo era a difendere l’uscita della Città dell’Acqua, in Our Hero! First.;;
\c[6]Cyber \n[6]§ \c[0]After regenerating inside a cocoon in (\map[The Great Cluster]), \n[6] is back as a deadly multipurpose half-machine!;\c[6]Cyber \n[6]§ \c[0]Uscito dal suo involucro (\map[The Great Cluster]), \n[6] è tornato metà cybernetico e più potente e accessoriato che mai!;;
\c[6]Cyborg§ \c[0]These tough cybernetic organisms stalk the ruins of the \map[Abandoned Area] ceaselessly.;\c[6]Cyborg§ \c[0]Questi robusti nemici cybernetici si nascondono fra le macerie della \map[Abandoned Area].;;
\c[6]Derijiro§ \c[0]The final boss of Our Hero! Two, a tyrannical dragon set on the destruction of the Heroes' Kingdom.;\c[6]Derijiro§ \c[0]Il boss finale di Our Hero! Two, un drago malvagio che voleva distruggere il Regno degli eroi.;;
