en;it;es;fr
\f[6]\nb[\n[6]]I'm still holding on to the crystal shard that allowed me to return, \n[1]!;\f[6]\nb[\n[6]]Lo stesso frammento di Cristallo di Teorhemas che mi ha portato qui nel futuro è ancora con me, \n[1]!;;
\f[6]\nb[\n[6]]Just like yours allowed you to reach this future, I will seize it and use it to transport myself to the past…;\f[6]\nb[\n[6]]E come lo usai per andare nel futuro, ora lo userò per tornare nel passato…;;
\f[6]\nb[\n[6]]AND I SHALL RELIVE THESE SAME EVENTS OVER AND OVER, UNTIL YOUR DEFEAT IS INEVITABLE!!!;\f[6]\nb[\n[6]]E FARÒ QUESTO TUTTE LE VOLTE CHE SARÀ NECESSARIO, FINO A QUANDO§ NON TI AVRÒ DISTRUTTO!!!;;
\f[1]\nb[\n[1]]You've run your mouth enough, \n[6]!\|§ Face me, we'll end this once and for all!;\f[1]\nb[\n[1]]Basta parlare \n[6]!\|§ Fatti avanti e finiamola una volta per tutte!;;
\f[6]\nb[\n[6]]It is I that will end you!\.\^;\f[6]\nb[\n[6]]Volentieri!\.\^;;
He's constructing attack robots constantly!;Genera nuovi robot in continuazione!;;
You have to hit his weak points to break him!;Devi indebolirlo colpendolo nei suoi punti deboli!;;
Heroes, you cannot hope to hurt him as is! He's too powerful!;Eroi, non riuscirete mai a danneggiarlo, è troppo forte!;;
We have to strike him down with our powers!;Dobbiamo distruggerlo con i nostri poteri!;;
We'll send our energy your way, heroes! Use them!;Recuperate le sfere di energia che vi passiamo!;;
Gather all of it and you'll have a shot at ending this!;Saremo così in grado di riunire i nostri poteri e distruggerlo!;;
Hide in that pit in the ground!;Nascondetevi in quella crepa nel terreno!;;
Jer has been pulled through a spacetime distortion!;Jer, ti ha trascinato in una distorsione spazio-temporale!;;
You must strike down \n[6] immediately!;Devi eliminare \n[6] al più presto!;;
\n[1], we're all with you!;\n[1] siamo tutti con te!;;
Die, \n[1]!;Muori \n[1]!;;
