en;it;es;fr
Our Hero! Last;Our Hero! Last;;
A game created by§ Stefano Mercadante;Un gioco realizzato da§ Stefano Mercadante;;
Thanks for beta testing and QA to§ Akm§ Alan Smithee§ ColossAlex_10;Con il prezioso beta test di§ Akm§ Alan Smithee§ ColossAlex_10;;
English translation curated by§ Ares Vaiarelli;Traduzione inglese a cura di§ Ares Vaiarelli;;
And special thanks to you§ for playing and completing this adventure!;Un ringraziamento speciale a te§ che hai giocato e completato questa avventura!;;
Try to finish the game 100%§ to unlock some special secrets!;Prova a completare il gioco al 100%§ per sbloccare dei segreti speciali!;;
Go to§ stesproject.com§ to find new games and§ all the adventures of the Our Hero! Trilogy!;Collegati a§ stesproject.com§ per trovare tanti altri giochi e§ tutte le avventure della trilogia di Our Hero!;;
Thanks for playing.§ See you to the next adventure!;Grazie per aver giocato.§ Alla prossima avventura!;;
Scripts by§ Ally (Jump)§ Morshudiego (Instant Transfer)§ KGC (Minimap);Script di§ Ally (Jump)§ Morshudiego (Instant Transfer)§ KGC (Minimap);;
Scripts by§ Shuuchan (Fog)§ Vlad (Crissaegrim ABS)§ Yanfly (Custom Message Melody);Script di§ Shuuchan (Fog)§ Vlad (Crissaegrim ABS)§ Yanfly (Custom Message Melody);;
Scripts by§ Woratana (Change Windowskin, Neo Save System, Lock Screen)§ wltr3565 (Image-based HP and MP);Script di§ Woratana (Change Windowskin, Neo Save System, Lock Screen)§ wltr3565 (Image-based HP and MP);;
Scripts by§ Roninator2 (Splash Screen)§ Moghunter (Scene Title Miria);Script di§ Roninator2 (Splash Screen)§ Moghunter (Scene Title Miria);;
Scripts by§ Stefano Mercadante (Screen Text, Map Texts, Card Status, Localization);Script di§ Stefano Mercadante (Screen Text, Map Texts, Card Status, Localization);;
Musics by§ Enrico Cascavilla (Jungle, Royal Gardens, Ending, Battle, Fire Kingdom, Hard Times);Musiche di§ Enrico Cascavilla (Jungle, Royal Gardens, Ending, Battle, Fire Kingdom, Hard Times);;
Musics by§ Raffaele Murri (Desert, Seabed, Title Screen);Musiche di§ Raffaele Murri (Desert, Seabed, Title Screen);;
Musics by§ Emanuel (Lost Valley);Musiche di§ Emanuel (Lost Valley);;
Musics by§ Dark Fantasy Studio (Secret Laboratory, Super Final Blow, Final Act, Finalboss Battle 2);Musiche di§ Dark Fantasy Studio (Secret Laboratory, Super Final Blow, Final Act, Finalboss Battle 2);;
Musics by§ Verblendet (Finalboss Battle 1, Memories, Boss Fight);Musiche di§ Verblendet (Finalboss Battle 1, Memories, Boss Fight);;
Musics by§ Andrey Sitkov (Abandoned Area, Shelter, Fight Starts);Musiche di§ Andrey Sitkov (Abandoned Area, Shelter, Fight Starts);;
