en;it;es;fr
\f[1]\nb[\n[1]]\n[2]!;\f[1]\nb[\n[1]]\n[2]!;;
\f[3]\nb[\n[3]]\n[2]!;\f[3]\nb[\n[3]]\n[2]!;;
\f[2]\nb[\n[2]]Heroes!;\f[2]\nb[\n[2]]Eroi!;;
\f[2]\nb[\n[2]]Thanks for coming to my rescue!;\f[2]\nb[\n[2]]Grazie per essere venuti a salvarmi!;;
\f[2]\nb[\n[2]]With all the laser traps scattered about, escaping on my own was all but impossible.;\f[2]\nb[\n[2]]Non avevo modo di uscire da questo posto, era pieno di laser ovunque!;;
\f[1]\nb[\n[1]]That and the robot guards.;\f[1]\nb[\n[1]]E anche di orde di robot.;;
\f[3]\nb[\n[3]]Yer all right now, we're bustin' ye outta there! How'dya end up in here anyway?;\f[3]\nb[\n[3]]Ma ora siamo qui e siamo venuti a liberarti e farti uscire da questo posto!;;
\f[2]\nb[\n[2]]The breach pulled me through and I found myself in the middle of a desert...\|§ I had no idea where I was or where to go...I was completely alone…;\f[2]\nb[\n[2]]Dopo essere stato risucchiato dal varco mi sono risvegliato nel deserto...\|§ Non avevo idea di dove mi trovassi né dove poter andare… ero solo…;;
\f[2]\nb[\n[2]]Some guy approached me and said he was looking for me!\|§ I figured out if the guy knew me, he§ might be trying to help me.;\f[2]\nb[\n[2]]Un tizio mi ha trovato dicendomi che mi stava cercando!\|§ Pensavo mi conoscesse e che quindi§ avesse buone intenzioni.;;
\f[2]\nb[\n[2]]Instead, he locked me up in here.;\f[2]\nb[\n[2]]Invece mi ha rinchiuso in questo posto!;;
\f[1]\nb[\n[1]]Wait, so he knew you?;\f[1]\nb[\n[1]]Dici che ti conosceva?!;;
\f[3]\nb[\n[3]]How?;\f[3]\nb[\n[3]]Com'è possibile?!;;
\f[2]\nb[\n[2]]No idea, but I plan on sticking around and finding out what happened and where we were sent!\|§ Let's move!;\f[2]\nb[\n[2]]Non lo so, ma voglio saperne di più su questa storia e soprattutto capire dove siamo finiti!\|§ Andiamo!;;
