en;it;es;fr
The door is closed.;La porta è stata chiusa.;;
\f[1]\nb[\n[1]]Good day to all you gents, your king has returned!;\f[1]\nb[\n[1]]Buongiorno signori, il vostro re è tornato!;;
\f[1]\nb[\n[1]]Oh. Did I overshoot it and end up too far back?;\f[1]\nb[\n[1]]Accidenti, devo esser finito indietro nel tempo.;;
\f[1]\nb[\n[1]]How am I supposed to get back to the other heroes and sages?;\f[1]\nb[\n[1]]Ed ora come faccio a tornare dagli eroi e dai saggi?;;
\f[1]\nb[\n[1]]Well… I can still hang around in this era!\..\..\..\. Perhaps I'll make some new friends!\..\..\..\.;\f[1]\nb[\n[1]]Be', ce ne saranno di altri in quest'epoca!\..\..\..\. Farò nuove amicizie!\..\..\..\.;;
\f[1]\nb[\n[1]]Wait, that's not right.\.I have to find a way back to the future.\| Though I guess stopping by to say hi wouldn't hurt…;\f[1]\nb[\n[1]]Cosa sto dicendo.\. Devo tornare nel futuro.\| Intanto che sono qua posso passare a far visita a qualcuno di mia conoscenza…;;
You took quite a tumble!\. I thought you would never get back up!;Cavolo che volo!\. Credevo non ti saresti più rialzato!;;
\f[1]\nb[\n[1]]I'm made of sterner stuff, you know.;\f[1]\nb[\n[1]]Non mi ferma niente e nessuno!;;
King?!\. Is that really you?!;Re?!\. Sei davvero tu?!;;
\f[1]\nb[\n[1]]In the flesh, and fur too for good measure.;\f[1]\nb[\n[1]]Sì, in pelo ed ossa!;;
All… all I saw was that big tear in midair appear and y-y-you tumbling out of it!\| Just what happened?!;È-è-è apparso un enorme varco oscuro e-e-e da lì siete uscito voi, Sire!\| Ma cosa è successo?!;;
\f[1]\nb[\n[1]]That's a story for another day.;\f[1]\nb[\n[1]]Te lo spiegherò un altro giorno…;;
Is everything all right?\. Did you just come back from another incredible adventure where you faced a fierce enemy and saved the Kingdom?;Tutto a posto?\. Hai sconfitto qualche altro incredibile nemico e fronteggiato altre mirabolanti avventure?;;
\f[1]\nb[\n[1]]Something of the sort, yeah.;\f[1]\nb[\n[1]]Sì, qualcosa del genere!;;
<- Crooked Eye Forest;<- Foresta dell'Occhio Sgorbio;;
Wild Valley ->;Valle Selvaggia ->;;
Mmmmmmmm!;Mmmmmmmm!;;
\f[1]\nb[\n[1]]Yeah, I know. My sheer heroism can leave you speechless at times.;\f[1]\nb[\n[1]]Eh, lo so che vorresti dirmi che sono bello e forte, ma ti mancano le parole.;;
Sire?!\. I didn't see you going out of the Castle!;Sire?!\. Ma non l'ho vista uscire dal Castello!;;
\f[1]\nb[\n[1]]Uh, you didn't? \. You sure about that?;\f[1]\nb[\n[1]]Ehm, no?!\. Sicuro??!;;
Sire, your fight against the dragon was something to be seen!\| It's been a month, but I still remember it like it was the other day!;Sire, è stato formidabile contro quel drago!\| È già passato un mese dalla battaglia, ma la ricordo come se fosse ieri!;;
\f[1]\nb[\n[1]]Yeah, I saved the Kingdom a second time, who could've guessed there would be a third...;\f[1]\nb[\n[1]]Sì, ho salvato il Regno per una seconda volta, ma non l'avrei mai detto che mi sarebbe aspettato di peggio.;;
Nothing to report, Sire!;È tutto tranquillo qui!;;
I saw some weird lights shining in the distance, did something happen?;Ho visto uno strano bagliore venire da là in fondo, è successo qualcosa?;;
\f[1]\nb[\n[1]]Nah, nothing weird at all...\.§ Everything's just fine!;\f[1]\nb[\n[1]]No, no tranquillo...\.§ Tutto a posto!;;
The shop is closed. They're out of stock.;Il negozio è chiuso per mancanza di materie prime.;;
Better not to wander too far, Sire.;È meglio non proseguire per di qua, Sire.;;
<- Green Forest;<- Foresta Verde;;
