en;it;es;fr
\f[5]\nb[\n[5]]We'll destroy you and bring peace back to this kingdom...;\f[5]\nb[\n[5]]Riusciremo a distruggerti e a riportare la pace in questo regno…;;
\f[5]\nb[\n[5]]Need something from me?§ Teleport!§ Let's chat...§ Buy a \ii[21];\f[5]\nb[\n[5]]Cosa vuoi da me?§ Teletrasportami!§ Parliamo un po’...§ Compra 1 \ii[21];;
\f[5]\nb[\n[5]]Go back to the safehouse?§ Sì§ No;\f[5]\nb[\n[5]]Volete tornare al rifugio?§ Sì§ No;;
\f[5]\nb[\n[5]]All right!\.\^;\f[5]\nb[\n[5]]Molto bene!\.\^;;
\f[5]\nb[\n[5]]I'll be here whenever you wish to return.;\f[5]\nb[\n[5]]Quando volete tornarci venite da me, io sono qui.;;
\f[5]\nb[\n[5]]Heroes, each sage has been imprisoned in a different area. Search all of them high and low to find them all!;\f[5]\nb[\n[5]]Eroi, ogni saggio è stato imprigionato in una zona diversa. Percorrete ogni zona per trovare e liberare i saggi.;;
\f[5]\nb[\n[5]]You're a bit short on cash, heroes!;\f[5]\nb[\n[5]]Non avete abbastanza dindini, eroi!;;
\f[5]\nb[\n[5]]Look, Fire Sage discovered a passage that should lead straight to \map[The Great Cluster] on his way here.;\f[5]\nb[\n[5]]Guardate, Saggio Fuoco venendo in qua ha scoperto questo passaggio che dovrebbe portare esattamente sotto a \map[The Great Cluster];;
\f[5]\nb[\n[5]]We can finally find out what's hidden down there!;\f[5]\nb[\n[5]]Ora potremo andare a vedere cosa si nasconde là sotto!;;
\f[5]\nb[\n[5]]Heroes, venture down and find out what really is going on in \map[The Great Cluster]! The last of the missing Sages must be held in there.;\f[5]\nb[\n[5]]Eroi, scendete le scale e scoprite che cosa c'è sotto a \map[The Great Cluster]! Probabilmente l'utimo saggio scomparso è rinchiuso là sotto.;;
\f[5]\nb[\n[5]]Are you ready?§ Yep§ Nope;\f[5]\nb[\n[5]]Siete tutti pronti?§ Sì§ No;;
\f[5]\nb[\n[5]]Get a move on, heroes, us sages are ready to mount an attack on \map[The Great Cluster]!;\f[5]\nb[\n[5]]Datevi una mossa eroi, noi saggi siamo già tutti pronti per lanciare il nostro attacco contro \map[The Great Cluster]!;;
\f[5]\nb[\n[5]]There you are, heroes!;\f[5]\nb[\n[5]]Eccovi eroi!;;
\f[1]\nb[\n[1]]Where did you come from?;\f[1]\nb[\n[1]]E tu da dove sei spuntato?;;
\f[5]\nb[\n[5]]Grin made it possible!\. Using the portals that open in places you've been, he transported me here!;\f[5]\nb[\n[5]]Grazie a Grin!\. Potendomi teletrasportare nei luoghi che avete già visitato, sono riuscito ad arrivare fino a qui!;;
