en;it;es;fr
\f[1]\nb[\n[1]]\n[6]!!!;\f[1]\nb[\n[1]]\n[6]!!!;;
\f[6]\nb[\n[6]]We meet again, \n[1]!\. Granted, this is the last I'll see of you!;\f[6]\nb[\n[6]]Ci rivediamo, \n[1]!\. Ma promesso, questa sarà l'ultima volta!;;
\f[6]\nb[\n[6]]For such a long time I patiently waited for you to bugger off your mortal coil, so that none could oppose me again!;\f[6]\nb[\n[6]]Ho aspettato che tu sparissi una volta per tutte dalla faccia di questo mondo per poter passare alla sua conquista indisturbato!;;
\f[6]\nb[\n[6]]Instead...\. Those fools managed to pit you against me yet again!§ Damn it all!;\f[6]\nb[\n[6]]E invece...\. Ecco che ti ho ancora in mezzo ai piedi!§ Dannazione!;;
\f[1]\nb[\n[1]]How can you still be alive?!;\f[1]\nb[\n[1]]Come fai ad essere qui?!;;
\f[6]\nb[\n[6]]The Teorhemas Crystal, of course!\| You should know the Crystal wasn't entirely destroyed!;\f[6]\nb[\n[6]]Grazie al Cristallo di Teorhemas!\| Come sai non andò distrutto l'intero Cristallo!;;
\f[6]\nb[\n[6]]But the shard you recovered wasn't the only one left behind...\| One of them landed straight in my resting place, in the Dead Valley!\. Ahahah!!!;\f[6]\nb[\n[6]]Piccoli frammenti di Cristallo di Teorhemas si sparsero per il mondo intero...\| Ed uno capitò nella Valle dei Morti!\. Ahahah!!!;;
\f[6]\nb[\n[6]]With its immense power, I worked to regrow my body, putting myself in stasis so that I could emerge again in a world without you to stop me!;\f[6]\nb[\n[6]]Il suo immenso potere riuscì a farmi scoprire i viaggi nel tempo, così decisi di arrivare fin qua, dove tu eri già morto, e potermi ricostituire con parti bioniche!;;
\f[6]\nb[\n[6]]Admire my new body and despair!\| The cybernetics I incorporated into my body have given me a new lease on life!;\f[6]\nb[\n[6]]Guarda che meraviglia sono diventato!\| Il metallo è dentro di me ora, vivo solo grazie ad esso!;;
\f[6]\nb[\n[6]]As long as they're part of me, you can only watch helplessly as I pummel you to dust!;\f[6]\nb[\n[6]]E potrò eliminarti una volta per tutte, grazie ad esso!;;
\f[6]\nb[\n[6]]And now, to reclaim your world for my race, as it should rightfully be.\| Goodbye!;\f[6]\nb[\n[6]]Ora, se non vi dispiace, la mia razza deve riconquistare questo mondo.\| Addio!;;
\nb[Sages]Save our world, heroes!;\nb[Saggi]Salvate il nostro mondo, eroi!;;
